id,type,primaryTitle,originalTitle,primaryImage,startYear,runtimeSeconds,genres,rating,plot,worldwideGross,worldwideGrossCurrency,productionBudget,productionBudgetCurrency,totalStarMeter
tt12042730,movie,Project Hail Mary,Project Hail Mary,"{'url': 'https://m.media-amazon.com/images/M/MV5BNTkwNzJiYTctNzI3NC00NjE1LTlhYjktY2Q5MTdmMWFmNzcxXkEyXkFqcGc@._V1_.jpg', 'width': 2765, 'height': 4096}",2026.0,9360.0,"['Adventure', 'Comedy', 'Sci-Fi']","{'aggregateRating': 8.4, 'voteCount': 178625}","A science teacher wakes up alone on a spaceship. As his memory returns, he uncovers a mission to stop a mysterious substance killing Earth's sun and that an unexpected friendship may be the key.",433030505,USD,200000000,USD,37
tt28650488,movie,The Super Mario Galaxy Movie,The Super Mario Galaxy Movie,"{'url': 'https://m.media-amazon.com/images/M/MV5BMDg5MjRkNWEtYmU1Mi00MTExLTk5MDQtY2RiMWVkZWNiOThjXkEyXkFqcGc@._V1_.jpg', 'width': 1579, 'height': 2500}",2026.0,5880.0,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']","{'aggregateRating': 6.5, 'voteCount': 25522}","Mario ventures into space, exploring cosmic worlds and tackling galactic challenges far from the familiar Mushroom Kingdom.",437751829,USD,110000000,USD,66
tt32430579,movie,Crime 101,Crime 101,"{'url': 'https://m.media-amazon.com/images/M/MV5BZThlN2M4ZTUtYTU3Mi00MDE5LWFhYWUtNjkxMWEwNjUwNDVhXkEyXkFqcGc@._V1_.jpg', 'width': 2765, 'height': 4096}",2026.0,8400.0,"['Crime', 'Drama', 'Thriller']","{'aggregateRating': 6.8, 'voteCount': 48321}","An elusive thief, eyeing his final score, encounters a disillusioned insurance broker at her own crossroads. As their paths intertwine, a relentless detective trails them hoping to thwart the multi-million dollar heist they are planning.",72559167,USD,90000000,USD,49
tt33071426,movie,The Drama,The Drama,"{'url': 'https://m.media-amazon.com/images/M/MV5BMTcwOGZhYmItYTg3ZS00NjUwLWJiMmQtMjU5YjEwYWY0NmNkXkEyXkFqcGc@._V1_.jpg', 'width': 1920, 'height': 3000}",2026.0,6300.0,"['Comedy', 'Drama', 'Romance']","{'aggregateRating': 7.5, 'voteCount': 17072}",A happily engaged couple is put to the test when an unexpected turn sends their wedding week off the rails.,26232083,USD,,,27
tt37209937,movie,Pizza Movie,Pizza Movie,"{'url': 'https://m.media-amazon.com/images/M/MV5BODQxYzE1NDQtOGQ2Zi00YWQ2LTgwMTktODM5YTk4ODI5MTYzXkEyXkFqcGc@._V1_.jpg', 'width': 2700, 'height': 4000}",2026.0,5820.0,['Comedy'],"{'aggregateRating': 5.8, 'voteCount': 4258}","High college students face an unexpectedly epic journey when they must navigate two flights of stairs to retrieve their pizza delivery, turning a simple task into a surreal adventure.",,,,,25
tt27543632,movie,The Housemaid,The Housemaid,"{'url': 'https://m.media-amazon.com/images/M/MV5BZDFmYmEzYmItMmY0ZC00Y2Y0LTliNjYtY2E3YWZkZjIyNzBjXkEyXkFqcGc@._V1_.jpg', 'width': 675, 'height': 1000}",2025.0,7860.0,"['Drama', 'Mystery', 'Thriller']","{'aggregateRating': 6.8, 'voteCount': 128853}","A struggling young woman is relieved by the chance for a fresh start as a maid for a wealthy couple. Soon, she discovers that the family's secrets are far more dangerous than her own.",399318859,USD,35000000,USD,31
tt33244668,movie,Anaconda,Anaconda,"{'url': 'https://m.media-amazon.com/images/M/MV5BMTNlMTk1YTItOWYxNi00ZWIzLTkyOWEtNTJmMzk4NmIyN2NmXkEyXkFqcGc@._V1_.jpg', 'width': 1000, 'height': 1500}",2025.0,5940.0,"['Action', 'Adventure', 'Comedy']","{'aggregateRating': 5.6, 'voteCount': 52429}",A group of friends are going through a mid-life crisis. They decide to remake a favorite movie from their youth but encounter unexpected events when they enter the jungle.,134974943,USD,45000000,USD,37
tt27552099,movie,Mike & Nick & Nick & Alice,Mike & Nick & Nick & Alice,"{'url': 'https://m.media-amazon.com/images/M/MV5BZDBiNjIyNjUtNWZlYy00MGU4LWFjNDUtMGExYTZlNmNhZTY4XkEyXkFqcGc@._V1_.jpg', 'width': 2025, 'height': 3000}",2026.0,6420.0,"['Action', 'Comedy', 'Crime']","{'aggregateRating': 6.2, 'voteCount': 12231}","Two friends navigate the dangerous world of organized crime, testing their loyalty and survival skills as they get deeper into the criminal underworld.",,,,,45
tt39139925,movie,Dhurandhar The Revenge,Dhurandhar The Revenge,"{'url': 'https://m.media-amazon.com/images/M/MV5BNzdkNjAxNWMtNWY3My00NTI1LTg2YWQtOGI3MDA0NzdhMjEyXkEyXkFqcGc@._V1_.jpg', 'width': 1500, 'height': 1973}",2026.0,13800.0,"['Action', 'Crime', 'Thriller']","{'aggregateRating': 8.5, 'voteCount': 43693}","Jaskirat Singh Rangi descends deeper into his alias as Hamza Ali Mazari, rising through Karachi's criminal hierarchy to claim the feared title ""Sher-e-Baloch"" while balancing loyalty, betrayal, and survival in a ruthless underworld.",150917485,USD,,,0
tt0049833,movie,The Ten Commandments,The Ten Commandments,"{'url': 'https://m.media-amazon.com/images/M/MV5BMDRiZmNjZDAtN2I0Ny00YjIyLTk3NTUtODUyYTJlMTJhY2U0XkEyXkFqcGc@._V1_.jpg', 'width': 807, 'height': 1200}",1956.0,13200.0,"['Adventure', 'Drama', 'Family', 'History']","{'aggregateRating': 7.9, 'voteCount': 84370}","Moses, raised as a prince of Egypt in the Pharaoh's household, learns of his true heritage as a Hebrew and his divine mission as the deliverer of his people from slavery.",65501273,USD,13282712,USD,21
tt15574124,movie,Peaky Blinders: The Immortal Man,Peaky Blinders: The Immortal Man,"{'url': 'https://m.media-amazon.com/images/M/MV5BNTdlNTNjNjctYTg2MC00NTFlLTliNTctODFiZjZmNWRkYTVlXkEyXkFqcGc@._V1_.jpg', 'width': 1500, 'height': 2222}",2026.0,6720.0,"['Crime', 'Drama', 'History']","{'aggregateRating': 6.6, 'voteCount': 64110}","During World War II, Tommy Shelby returns to a bombed Birmingham and becomes involved in secret wartime missions facing new threats as he reckons with his past.",,,,,38
tt8036976,movie,Send Help,Send Help,"{'url': 'https://m.media-amazon.com/images/M/MV5BOTgxOWY5NTMtYjdiNi00NTIyLTkwMTQtMWNjM2IzYTU0ODgyXkEyXkFqcGc@._V1_.jpg', 'width': 2025, 'height': 3000}",2026.0,6780.0,"['Adventure', 'Horror', 'Thriller']","{'aggregateRating': 6.9, 'voteCount': 67143}","When an employee and her insufferable boss become stranded on a deserted island, the only survivors of a plane crash, they must overcome past grievances and work together to make it out alive.",94040077,USD,40000000,USD,20
tt1757678,movie,Avatar: Fire and Ash,Avatar: Fire and Ash,"{'url': 'https://m.media-amazon.com/images/M/MV5BZDYxY2I1OGMtN2Y4MS00ZmU1LTgyNDAtODA0MzAyYjI0N2Y2XkEyXkFqcGc@._V1_.jpg', 'width': 1086, 'height': 1609}",2025.0,11820.0,"['Animation', 'Action', 'Adventure', 'Fantasy', 'Sci-Fi']","{'aggregateRating': 7.3, 'voteCount': 150612}","Jake and Neytiri's family grapples with grief, encountering a new, aggressive Na'vi tribe, the Ash People, who are led by the fiery Varang, as the conflict on Pandora escalates and a new moral focus emerges.",1485937271,USD,400000000,USD,34
tt0427340,movie,Masters of the Universe,Masters of the Universe,"{'url': 'https://m.media-amazon.com/images/M/MV5BN2MzMjMyNmQtYzkwMC00NTM2LThmN2ItMTczMGVmNGY5ODZlXkEyXkFqcGc@._V1_.jpg', 'width': 2000, 'height': 3000}",2026.0,,"['Action', 'Adventure', 'Family', 'Fantasy', 'Sci-Fi']",,"A young man on Earth discovers a fabulous secret legacy as the prince of an alien planet, and must recover a magic sword and return home to protect his kingdom.",,,,,42
tt30144839,movie,One Battle After Another,One Battle After Another,"{'url': 'https://m.media-amazon.com/images/M/MV5BMzBkZmQ0NjMtNTZlMy00ZjdlLTg5ODUtYWFlNGM0YzE3MTg0XkEyXkFqcGc@._V1_.jpg', 'width': 1638, 'height': 2048}",2025.0,9660.0,"['Action', 'Crime', 'Drama', 'Thriller']","{'aggregateRating': 7.7, 'voteCount': 386422}","When their enemy resurfaces after 16 years, a group of ex-revolutionaries reunite to rescue the daughter of one of their own.",212718884,USD,130000000,USD,32
tt31050594,movie,Mercy,Mercy,"{'url': 'https://m.media-amazon.com/images/M/MV5BMWJmYjcwMTMtMDU1ZC00ZGI5LTlmZDAtODI3NDA2ZTE5ZGVlXkEyXkFqcGc@._V1_.jpg', 'width': 2754, 'height': 4080}",2026.0,5940.0,"['Action', 'Crime', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller']","{'aggregateRating': 6.2, 'voteCount': 52809}","Set in the near future, a detective accused of murdering his wife has 90 minutes to prove his innocence to an advanced AI judge.",54703407,USD,60000000,USD,34
tt26443616,movie,Hoppers,Hoppers,"{'url': 'https://m.media-amazon.com/images/M/MV5BNzRiMzZlMTMtNmU3OC00MDUwLThmNDUtMTBjZmQ3MWQ4NTljXkEyXkFqcGc@._V1_.jpg', 'width': 1086, 'height': 1610}",2026.0,6240.0,"['Animation', 'Adventure', 'Comedy', 'Family', 'Sci-Fi']","{'aggregateRating': 7.5, 'voteCount': 31355}",A 19-year-old animal lover uses technology that places her consciousness into a robotic beaver to uncover mysteries within the animal world beyond her imagination.,334993260,USD,150000000,USD,24
