id,type,primaryTitle,originalTitle,primaryImage,startYear,runtimeSeconds,genres,rating,plot,worldwideGross,productionBudget,totalStarMeter,gross_to_budget_ratio
tt12042730,movie,Project Hail Mary,Project Hail Mary,"{'url': 'https://m.media-amazon.com/images/M/MV5BNTkwNzJiYTctNzI3NC00NjE1LTlhYjktY2Q5MTdmMWFmNzcxXkEyXkFqcGc@._V1_.jpg', 'width': 2765, 'height': 4096}",2026.0,9360.0,"['Adventure', 'Comedy', 'Sci-Fi']","{'aggregateRating': 8.4, 'voteCount': 177774}","A science teacher wakes up alone on a spaceship. As his memory returns, he uncovers a mission to stop a mysterious substance killing Earth's sun and that an unexpected friendship may be the key.",433030505,200000000,36,2.165152525
tt28650488,movie,The Super Mario Galaxy Movie,The Super Mario Galaxy Movie,"{'url': 'https://m.media-amazon.com/images/M/MV5BMDg5MjRkNWEtYmU1Mi00MTExLTk5MDQtY2RiMWVkZWNiOThjXkEyXkFqcGc@._V1_.jpg', 'width': 1579, 'height': 2500}",2026.0,5880.0,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']","{'aggregateRating': 6.5, 'voteCount': 25339}","Mario ventures into space, exploring cosmic worlds and tackling galactic challenges far from the familiar Mushroom Kingdom.",437751829,110000000,43,3.9795620818181816
tt32430579,movie,Crime 101,Crime 101,"{'url': 'https://m.media-amazon.com/images/M/MV5BZThlN2M4ZTUtYTU3Mi00MDE5LWFhYWUtNjkxMWEwNjUwNDVhXkEyXkFqcGc@._V1_.jpg', 'width': 2765, 'height': 4096}",2026.0,8400.0,"['Crime', 'Drama', 'Thriller']","{'aggregateRating': 6.8, 'voteCount': 48040}","An elusive thief, eyeing his final score, encounters a disillusioned insurance broker at her own crossroads. As their paths intertwine, a relentless detective trails them hoping to thwart the multi-million dollar heist they are planning.",72559167,90000000,26,0.8062129666666666
tt27543632,movie,The Housemaid,The Housemaid,"{'url': 'https://m.media-amazon.com/images/M/MV5BZDFmYmEzYmItMmY0ZC00Y2Y0LTliNjYtY2E3YWZkZjIyNzBjXkEyXkFqcGc@._V1_.jpg', 'width': 675, 'height': 1000}",2025.0,7860.0,"['Drama', 'Mystery', 'Thriller']","{'aggregateRating': 6.8, 'voteCount': 128732}","A struggling young woman is relieved by the chance for a fresh start as a maid for a wealthy couple. Soon, she discovers that the family's secrets are far more dangerous than her own.",399318859,35000000,26,11.409110257142856
tt33244668,movie,Anaconda,Anaconda,"{'url': 'https://m.media-amazon.com/images/M/MV5BMTNlMTk1YTItOWYxNi00ZWIzLTkyOWEtNTJmMzk4NmIyN2NmXkEyXkFqcGc@._V1_.jpg', 'width': 1000, 'height': 1500}",2025.0,5940.0,"['Action', 'Adventure', 'Comedy']","{'aggregateRating': 5.6, 'voteCount': 52350}",A group of friends are going through a mid-life crisis. They decide to remake a favorite movie from their youth but encounter unexpected events when they enter the jungle.,134974943,45000000,31,2.9994431777777777
tt0049833,movie,The Ten Commandments,The Ten Commandments,"{'url': 'https://m.media-amazon.com/images/M/MV5BMDRiZmNjZDAtN2I0Ny00YjIyLTk3NTUtODUyYTJlMTJhY2U0XkEyXkFqcGc@._V1_.jpg', 'width': 807, 'height': 1200}",1956.0,13200.0,"['Adventure', 'Drama', 'Family', 'History']","{'aggregateRating': 7.9, 'voteCount': 84366}","Moses, raised as a prince of Egypt in the Pharaoh's household, learns of his true heritage as a Hebrew and his divine mission as the deliverer of his people from slavery.",65501273,13282712,3,4.931317715839958
tt8036976,movie,Send Help,Send Help,"{'url': 'https://m.media-amazon.com/images/M/MV5BOTgxOWY5NTMtYjdiNi00NTIyLTkwMTQtMWNjM2IzYTU0ODgyXkEyXkFqcGc@._V1_.jpg', 'width': 2025, 'height': 3000}",2026.0,6780.0,"['Adventure', 'Horror', 'Thriller']","{'aggregateRating': 6.9, 'voteCount': 66995}","When an employee and her insufferable boss become stranded on a deserted island, the only survivors of a plane crash, they must overcome past grievances and work together to make it out alive.",94040077,40000000,19,2.351001925
tt1757678,movie,Avatar: Fire and Ash,Avatar: Fire and Ash,"{'url': 'https://m.media-amazon.com/images/M/MV5BZDYxY2I1OGMtN2Y4MS00ZmU1LTgyNDAtODA0MzAyYjI0N2Y2XkEyXkFqcGc@._V1_.jpg', 'width': 1086, 'height': 1609}",2025.0,11820.0,"['Animation', 'Action', 'Adventure', 'Fantasy', 'Sci-Fi']","{'aggregateRating': 7.3, 'voteCount': 150499}","Jake and Neytiri's family grapples with grief, encountering a new, aggressive Na'vi tribe, the Ash People, who are led by the fiery Varang, as the conflict on Pandora escalates and a new moral focus emerges.",1485937271,400000000,14,3.7148431775
tt30144839,movie,One Battle After Another,One Battle After Another,"{'url': 'https://m.media-amazon.com/images/M/MV5BMzBkZmQ0NjMtNTZlMy00ZjdlLTg5ODUtYWFlNGM0YzE3MTg0XkEyXkFqcGc@._V1_.jpg', 'width': 1638, 'height': 2048}",2025.0,9660.0,"['Action', 'Crime', 'Drama', 'Thriller']","{'aggregateRating': 7.7, 'voteCount': 386316}","When their enemy resurfaces after 16 years, a group of ex-revolutionaries reunite to rescue the daughter of one of their own.",212718884,130000000,33,1.6362991076923077
tt31050594,movie,Mercy,Mercy,"{'url': 'https://m.media-amazon.com/images/M/MV5BMWJmYjcwMTMtMDU1ZC00ZGI5LTlmZDAtODI3NDA2ZTE5ZGVlXkEyXkFqcGc@._V1_.jpg', 'width': 2754, 'height': 4080}",2026.0,5940.0,"['Action', 'Crime', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller']","{'aggregateRating': 6.2, 'voteCount': 52701}","Set in the near future, a detective accused of murdering his wife has 90 minutes to prove his innocence to an advanced AI judge.",54703407,60000000,32,0.91172345
