id,type,primaryTitle,originalTitle,primaryImage,startYear,runtimeSeconds,genres,rating,plot,endYear,worldwideGross,productionBudget,totalStarMeter,gross_to_budget_ratio
tt32820897,movie,Demon Slayer: Kimetsu No Yaiba Infinity Castle,Gekijô-ban Kimetsu no Yaiba Mugen Jô-hen,"{'url': 'https://m.media-amazon.com/images/M/MV5BOGQ3YWUzYjEtMTJiYy00ZjQ0LWI0YjktYjhiNGVhNGExYTM3XkEyXkFqcGc@._V1_.jpg', 'width': 684, 'height': 1030}",2025.0,9300.0,"['Animation', 'Action', 'Adventure', 'Fantasy', 'Thriller']","{'aggregateRating': 8.4, 'voteCount': 67951}","The Demon Slayer Corps are drawn into the Infinity Castle, where Tanjiro and the Hashira face terrifying Upper Rank demons in a desperate fight as the final battle against Muzan Kibutsuji begins.",,738971893.0,20000000.0,1,36.94859465
tt2582782,movie,Hell or High Water,Hell or High Water,"{'url': 'https://m.media-amazon.com/images/M/MV5BMTg4NDA1OTA5NF5BMl5BanBnXkFtZTgwMDQ2MDM5ODE@._V1_.jpg', 'width': 2764, 'height': 4096}",2016.0,6120.0,"['Crime', 'Drama', 'Thriller', 'Western']","{'aggregateRating': 7.6, 'voteCount': 276114}","Toby is a divorced father who's trying to make a better life. His brother is an ex-con with a short temper and a loose trigger finger. Together, they plan a series of heists against the bank that's about to foreclose on their family ranch.",,37999675.0,12000000.0,6,3.166639583333333
tt3566834,movie,A Minecraft Movie,A Minecraft Movie,"{'url': 'https://m.media-amazon.com/images/M/MV5BYzFjMzNjOTktNDBlNy00YWZhLWExYTctZDcxNDA4OWVhOTJjXkEyXkFqcGc@._V1_.jpg', 'width': 2764, 'height': 4096}",2025.0,6060.0,"['Action', 'Adventure', 'Comedy', 'Family', 'Fantasy']","{'aggregateRating': 5.6, 'voteCount': 156311}",Four misfits are suddenly pulled through a mysterious portal into a bizarre cubic wonderland that thrives on imagination. To get back home they'll have to master this world while embarking on a quest with an unexpected expert crafter.,,961187780.0,150000000.0,17,6.4079185333333335
tt0490215,movie,Silence,Silence,"{'url': 'https://m.media-amazon.com/images/M/MV5BMjY3OTk0NjA2NV5BMl5BanBnXkFtZTgwNTg3Mjc2MDI@._V1_.jpg', 'width': 1312, 'height': 2048}",2016.0,9660.0,"['Drama', 'History']","{'aggregateRating': 7.2, 'voteCount': 133291}","In the 17th century, two Portuguese Jesuit priests travel to Japan in an attempt to locate their mentor, who is rumored to have committed apostasy, and to propagate Catholicism.",,23824342.0,46000000.0,20,0.5179204782608695
tt0102057,movie,Hook,Hook,"{'url': 'https://m.media-amazon.com/images/M/MV5BOTU0ZTU3MGUtOTQwNi00N2QzLWFmMDUtZDgxMGJlNGI5NDllXkEyXkFqcGc@._V1_.jpg', 'width': 900, 'height': 1357}",1991.0,8520.0,"['Adventure', 'Comedy', 'Family', 'Fantasy']","{'aggregateRating': 6.8, 'voteCount': 290602}","When Captain James Hook kidnaps his children, an adult Peter Pan must return to Neverland and reclaim his youthful spirit in order to challenge his old enemy.",,300854823.0,70000000.0,16,4.297926042857143
tt0245429,movie,Spirited Away,Sen to Chihiro no kamikakushi,"{'url': 'https://m.media-amazon.com/images/M/MV5BNTEyNmEwOWUtYzkyOC00ZTQ4LTllZmUtMjk0Y2YwOGUzYjRiXkEyXkFqcGc@._V1_.jpg', 'width': 1956, 'height': 2900}",2001.0,7440.0,"['Animation', 'Adventure', 'Family', 'Fantasy']","{'aggregateRating': 8.6, 'voteCount': 961667}","During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, and where humans are changed into beasts.",,360181148.0,2000000000.0,1,0.180090574
tt3659388,movie,The Martian,The Martian,"{'url': 'https://m.media-amazon.com/images/M/MV5BMTc2MTQ3MDA1Nl5BMl5BanBnXkFtZTgwODA3OTI4NjE@._V1_.jpg', 'width': 865, 'height': 1280}",2015.0,8640.0,"['Adventure', 'Drama', 'Sci-Fi']","{'aggregateRating': 8, 'voteCount': 1005083}","An astronaut becomes stranded on Mars after his team assumes him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive and can survive until a potential rescue.",,630621406.0,108000000.0,28,5.839087092592592
tt1645170,movie,The Dictator,The Dictator,"{'url': 'https://m.media-amazon.com/images/M/MV5BM2IwMDM3ZmQtNjQ3NS00OTFiLWI5YzEtYWE3YjI5NTk3YzkwXkEyXkFqcGc@._V1_.jpg', 'width': 1000, 'height': 1481}",2012.0,4980.0,['Comedy'],"{'aggregateRating': 6.5, 'voteCount': 365941}",The heroic story of a dictator who risked his life to ensure that democracy would never come to the country he so lovingly oppressed.,,179379533.0,65000000.0,11,2.759685123076923
tt0353969,movie,Memories of Murder,Salinui chueok,"{'url': 'https://m.media-amazon.com/images/M/MV5BYmRjOWE5NmMtYTdkYS00ODFlLWJiMTMtYzE2NDZlZjlkZDQ0XkEyXkFqcGc@._V1_.jpg', 'width': 1382, 'height': 2048}",2003.0,7860.0,"['Crime', 'Drama', 'Mystery', 'Thriller']","{'aggregateRating': 8.1, 'voteCount': 264118}","In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.",,1211583.0,2800000.0,0,0.43270821428571427
tt0167260,movie,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,"{'url': 'https://m.media-amazon.com/images/M/MV5BMTZkMjBjNWMtZGI5OC00MGU0LTk4ZTItODg2NWM3NTVmNWQ4XkEyXkFqcGc@._V1_.jpg', 'width': 800, 'height': 1185}",2003.0,12060.0,"['Adventure', 'Drama', 'Fantasy']","{'aggregateRating': 9, 'voteCount': 2156112}",Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,,1149078006.0,94000000.0,15,12.224234106382978
tt26443597,movie,Zootopia 2,Zootopia 2,"{'url': 'https://m.media-amazon.com/images/M/MV5BYjg1Mjc3MjQtMTZjNy00YWVlLWFhMWEtMWI3ZTgxYjJmNmRlXkEyXkFqcGc@._V1_.jpg', 'width': 1086, 'height': 1610}",2025.0,6480.0,"['Animation', 'Action', 'Adventure', 'Comedy', 'Crime', 'Family', 'Mystery']","{'aggregateRating': 7.4, 'voteCount': 116298}","Brave rabbit cop Judy Hopps and her friend, the fox Nick Wilde, team up again to crack a new case, the most perilous and intricate of their careers.",,1866643121.0,150000000.0,38,12.444287473333333
