id,displayName,primaryImage,heightCm,birthDate,deathDate,meterRanking,page,currentRank,currentRank_Tier
nm0281619,Carrie Anne Fleming,"{'url': 'https://m.media-amazon.com/images/M/MV5BYTc2NTE4MGItODhjYS00YjQ4LWI2MjctYzUzNzg1YTE5MjQxXkEyXkFqcGc@._V1_.jpg', 'width': 864, 'height': 648}",170.0,"{'year': 1974, 'month': 8, 'day': 16}","{'year': 2026, 'month': 2, 'day': 26}","{'currentRank': 1, 'changeDirection': 'UP', 'difference': 17796}",0,1.0,9.0
nm0331516,Ryan Gosling,"{'url': 'https://m.media-amazon.com/images/M/MV5BMTQzMjkwNTQ2OF5BMl5BanBnXkFtZTgwNTQ4MTQ4MTE@._V1_.jpg', 'width': 1619, 'height': 2048}",184.0,"{'year': 1980, 'month': 11, 'day': 12}",,"{'currentRank': 2, 'changeDirection': 'UP', 'difference': 10}",0,2.0,9.0
nm1683768,Beau Garrett,"{'url': 'https://m.media-amazon.com/images/M/MV5BYzNiMzVkMGItZmRhMy00OGQxLTk3NjQtOTg4MjI3NThjZTMzXkEyXkFqcGc@._V1_.jpg', 'width': 4212, 'height': 6000}",178.0,"{'year': 1982, 'month': 12, 'day': 28}",,"{'currentRank': 3, 'changeDirection': 'UP', 'difference': 6}",0,3.0,9.0
nm1197689,Sandra Hüller,"{'url': 'https://m.media-amazon.com/images/M/MV5BOGM2NzE5ODAtZjdiMi00YzgwLWI3YTItZWExMTE2MjM4MmE3XkEyXkFqcGc@._V1_.jpg', 'width': 837, 'height': 1488}",173.0,"{'year': 1978, 'month': 4, 'day': 30}",,"{'currentRank': 4, 'changeDirection': 'UP', 'difference': 23}",0,4.0,9.0
nm4422686,Barry Keoghan,"{'url': 'https://m.media-amazon.com/images/M/MV5BMTRmNjA0NTctNTBiZS00MDRiLWIyOWQtYThjNWE3MWE5ZWI2XkEyXkFqcGc@._V1_.jpg', 'width': 2538, 'height': 3807}",173.0,"{'year': 1992, 'month': 10, 'day': 18}",,"{'currentRank': 5, 'changeDirection': 'UP', 'difference': 14}",0,5.0,9.0
nm0272581,Rebecca Ferguson,"{'url': 'https://m.media-amazon.com/images/M/MV5BMDVlZjIzOTktYzNmZC00MjIzLTk1YTMtMzdlOTFiNzQ3ZGY0XkEyXkFqcGc@._V1_.jpg', 'width': 406, 'height': 464}",165.0,"{'year': 1983, 'month': 10, 'day': 19}",,"{'currentRank': 6, 'changeDirection': 'UP', 'difference': 16}",0,6.0,9.0
nm6714979,Camila Morrone,"{'url': 'https://m.media-amazon.com/images/M/MV5BYTE1ZjI1ZjYtMTdkYi00MDE0LThkNDAtNzM5MmVkNjdlZjQ4XkEyXkFqcGc@._V1_.jpg', 'width': 2809, 'height': 4216}",175.0,"{'year': 1997, 'month': 6, 'day': 16}",,"{'currentRank': 7, 'changeDirection': 'UP', 'difference': 205}",0,7.0,9.0
nm2024927,Alan Ritchson,"{'url': 'https://m.media-amazon.com/images/M/MV5BMDhiY2U4Y2YtODE3ZC00YjYwLWE4MWYtODA2MTlkMDc1N2FhXkEyXkFqcGc@._V1_.jpg', 'width': 4408, 'height': 6612}",191.0,"{'year': 1982, 'month': 11, 'day': 28}",,"{'currentRank': 8, 'changeDirection': 'UP', 'difference': 5}",0,8.0,9.0
nm0000492,Jennifer Jason Leigh,"{'url': 'https://m.media-amazon.com/images/M/MV5BMTU1MzU2NTg0Nl5BMl5BanBnXkFtZTcwMjcyNjY0MQ@@._V1_.jpg', 'width': 463, 'height': 600}",160.0,"{'year': 1962, 'month': 2, 'day': 5}",,"{'currentRank': 9, 'changeDirection': 'UP', 'difference': 17}",0,9.0,9.0
nm0614165,Cillian Murphy,"{'url': 'https://m.media-amazon.com/images/M/MV5BNWM3NTg0NGYtNTFmYS00OWY1LTlkNTgtNzZlMWY4OGRmMmEzXkEyXkFqcGc@._V1_CR1542,983,1114,1670_.jpg', 'width': 1114, 'height': 1670}",172.0,"{'year': 1976, 'month': 5, 'day': 25}",,"{'currentRank': 10, 'changeDirection': 'UP', 'difference': 14}",0,10.0,9.0
nm10916931,Elle Chapman,"{'url': 'https://m.media-amazon.com/images/M/MV5BZDkwY2ZlZDAtZDI5Yi00ZjQ0LWE0NGMtOTJlYTk4Zjg4ZjVhXkEyXkFqcGc@._V1_.jpg', 'width': 2731, 'height': 4096}",173.0,,,"{'currentRank': 11, 'changeDirection': 'UP', 'difference': 3}",0,11.0,9.0
nm1172478,Joel Kinnaman,"{'url': 'https://m.media-amazon.com/images/M/MV5BYjkxZjdmOTYtY2MyMS00NjE3LWE3YzEtMTM2OGUwOWZlZDU3XkEyXkFqcGc@._V1_.jpg', 'width': 3695, 'height': 5758}",190.0,"{'year': 1979, 'month': 11, 'day': 25}",,"{'currentRank': 12, 'changeDirection': 'UP', 'difference': 128}",0,12.0,9.0
nm6185683,Emily Rudd,"{'url': 'https://m.media-amazon.com/images/M/MV5BNjdjMDgyM2YtYzcyMy00YzI4LTgzNTUtZDViZmMzNTNkNjVmXkEyXkFqcGc@._V1_.jpg', 'width': 1871, 'height': 1500}",165.0,"{'year': 1993, 'month': 2, 'day': 24}",,"{'currentRank': 13, 'changeDirection': 'DOWN', 'difference': 5}",0,13.0,9.0
nm0001569,Chuck Norris,"{'url': 'https://m.media-amazon.com/images/M/MV5BZDFjOWRiNDktMTMyNy00MDYxLWFkYjYtN2IxNTYyMzZmZjljXkEyXkFqcGc@._V1_.jpg', 'width': 4667, 'height': 6585}",174.0,"{'year': 1940, 'month': 3, 'day': 10}","{'year': 2026, 'month': 3, 'day': 19}","{'currentRank': 14, 'changeDirection': 'DOWN', 'difference': 11}",0,14.0,9.0
nm3034977,Samara Weaving,"{'url': 'https://m.media-amazon.com/images/M/MV5BNzlkOWQ5ZTctM2IxNS00YzIzLWFmZjAtMGNlZGJmYjQwNTI3XkEyXkFqcGc@._V1_CR393,552,1333,1999_.jpg', 'width': 1333, 'height': 1999}",165.0,"{'year': 1992, 'month': 2, 'day': 23}",,"{'currentRank': 15, 'changeDirection': 'UP', 'difference': 5}",0,15.0,9.0
nm4013922,James Ortiz,"{'url': 'https://m.media-amazon.com/images/M/MV5BN2U3NGYwMjItNzQ2OS00NzkwLWI4OTQtNGRlZmIxYzZhNjA3XkEyXkFqcGc@._V1_.jpg', 'width': 3840, 'height': 4887}",185.0,"{'year': 1984, 'month': 2, 'day': 16}",,"{'currentRank': 16, 'changeDirection': 'UP', 'difference': 34}",0,16.0,9.0
nm0000201,Michelle Pfeiffer,"{'url': 'https://m.media-amazon.com/images/M/MV5BMTUzNjI0Njc5NF5BMl5BanBnXkFtZTYwOTM2MjYz._V1_.jpg', 'width': 266, 'height': 400}",171.0,"{'year': 1958, 'month': 4, 'day': 29}",,"{'currentRank': 17, 'changeDirection': 'UP', 'difference': 11}",0,17.0,9.0
nm0866055,James Tolkan,"{'url': 'https://m.media-amazon.com/images/M/MV5BYWI0ZDU0ZjQtZWVjMi00MDZhLWFiN2UtZjE3ZDI3ZTlhNzJhXkEyXkFqcGc@._V1_.jpg', 'width': 3000, 'height': 2234}",165.0,"{'year': 1931, 'month': 6, 'day': 20}","{'year': 2026, 'month': 3, 'day': 26}","{'currentRank': 18, 'changeDirection': 'UP', 'difference': 6559}",0,18.0,9.0
nm0107183,Nicholas Brendon,"{'url': 'https://m.media-amazon.com/images/M/MV5BMTM3NTA3MzM3N15BMl5BanBnXkFtZTYwMTY4NjEz._V1_.jpg', 'width': 485, 'height': 597}",180.0,"{'year': 1971, 'month': 4, 'day': 12}","{'year': 2026, 'month': 3, 'day': 20}","{'currentRank': 19, 'changeDirection': 'DOWN', 'difference': 13}",0,19.0,9.0
nm0520488,Phil Lord,"{'url': 'https://m.media-amazon.com/images/M/MV5BOTI5NTUwMTAwOV5BMl5BanBnXkFtZTcwMDIxMDgzOQ@@._V1_.jpg', 'width': 1662, 'height': 2048}",177.0,"{'year': 1975, 'month': 7, 'day': 12}",,"{'currentRank': 20, 'changeDirection': 'UP', 'difference': 43}",0,20.0,9.0
